# Integrated source spectrum
# Creator: SoFiA 2.0.1
#
# Description of columns:
#
# - Channel       Spectral channel number.
#
# - Velocity      Radial velocity corresponding to the channel number as
#                 described by the WCS information in the header.
#
# - Frequency     Frequency corresponding to the channel number as described
#                 by the WCS information in the header.
#
# - Flux density  Sum of flux density values of all spatial pixels covered
#                 by the source in that channel. If the unit is Jy, then
#                 the flux density has already been corrected for the solid
#                 angle of the beam. If instead the unit is Jy/beam, you
#                 will need to manually divide by the beam area which, for
#                 Gaussian beams, will be
#
#                   pi * a * b / (4 * ln(2))
#
#                 where a and b are the major and minor axis of the beam in
#                 units of pixels.
#
# - Pixels        Number of spatial pixels covered by the source in that
#                 channel. This can be used to determine the statistical
#                 uncertainty of the summed flux value. Again, this has
#                 not yet been corrected for any potential spatial correla-
#                 tion of pixels due to the beam solid angle!
#
# Note that a WCS-related column will only be present if WCS conversion was
# explicitly requested when running the pipeline.
#
#
#  Channel          FREQ          Flux density    Pixels
#        -          Hz                      Jy         -
#
      1613     1.4108333e+09     0.0000000e+00         0
      1614     1.4108519e+09     0.0000000e+00         0
      1615     1.4108704e+09     0.0000000e+00         0
      1616     1.4108889e+09     0.0000000e+00         0
      1617     1.4109074e+09     0.0000000e+00         0
      1618     1.4109259e+09     0.0000000e+00         0
      1619     1.4109444e+09     0.0000000e+00         0
      1620     1.4109630e+09     0.0000000e+00         0
      1621     1.4109815e+09     0.0000000e+00         0
      1622     1.4110000e+09     0.0000000e+00         0
      1623     1.4110185e+09     4.9763499e-04         6
      1624     1.4110370e+09     2.4335887e-03        43
      1625     1.4110556e+09     6.4792247e-03        77
      1626     1.4110741e+09    -1.4908657e-03       127
      1627     1.4110926e+09     1.3251048e-02       175
      1628     1.4111111e+09     3.6580030e-03       206
      1629     1.4111296e+09     8.0796559e-03       253
      1630     1.4111481e+09     2.0275028e-02       283
      1631     1.4111667e+09     2.5043345e-02       312
      1632     1.4111852e+09     5.0601281e-02       335
      1633     1.4112037e+09     6.0982341e-02       364
      1634     1.4112222e+09     6.9363080e-02       375
      1635     1.4112407e+09     5.9479142e-02       412
      1636     1.4112593e+09     4.3577911e-02       428
      1637     1.4112778e+09     3.0810111e-02       435
      1638     1.4112963e+09     4.9353122e-02       455
      1639     1.4113148e+09     3.3752230e-02       461
      1640     1.4113333e+09     4.5777102e-02       447
      1641     1.4113519e+09     6.8227679e-02       417
      1642     1.4113704e+09     5.5174407e-02       436
      1643     1.4113889e+09     3.9307297e-02       459
      1644     1.4114074e+09     2.3387461e-02       464
      1645     1.4114259e+09     4.0335531e-02       453
      1646     1.4114444e+09     3.4086183e-02       452
      1647     1.4114630e+09     1.9363437e-02       449
      1648     1.4114815e+09     3.0839033e-02       443
      1649     1.4115000e+09     4.2759695e-02       440
      1650     1.4115185e+09     5.1912051e-02       419
      1651     1.4115370e+09     2.6043034e-02       403
      1652     1.4115556e+09     3.6591007e-02       407
      1653     1.4115741e+09     2.4073684e-02       395
      1654     1.4115926e+09     2.7171274e-02       410
      1655     1.4116111e+09     3.8489181e-02       441
      1656     1.4116296e+09     4.5829915e-02       450
      1657     1.4116481e+09     4.8446149e-02       449
      1658     1.4116667e+09     3.0451429e-02       452
      1659     1.4116852e+09     5.0051989e-02       471
      1660     1.4117037e+09     4.1727935e-02       483
      1661     1.4117222e+09     3.3030107e-02       492
      1662     1.4117407e+09     5.2740420e-02       494
      1663     1.4117593e+09     4.1404598e-02       505
      1664     1.4117778e+09     3.3141464e-02       480
      1665     1.4117963e+09     6.5838720e-02       472
      1666     1.4118148e+09     3.7239995e-02       471
      1667     1.4118333e+09     5.1959212e-02       460
      1668     1.4118519e+09     6.9508749e-02       453
      1669     1.4118704e+09     6.4067821e-02       475
      1670     1.4118889e+09     4.6782228e-02       461
      1671     1.4119074e+09     4.7607588e-02       431
      1672     1.4119259e+09     4.9717523e-02       419
      1673     1.4119444e+09     4.6233137e-02       412
      1674     1.4119630e+09     6.7046156e-02       413
      1675     1.4119815e+09     4.5289755e-02       408
      1676     1.4120000e+09     8.7545503e-02       397
      1677     1.4120185e+09     7.0429105e-02       373
      1678     1.4120370e+09     7.1287151e-02       357
      1679     1.4120556e+09     6.8950025e-02       345
      1680     1.4120741e+09     6.8510400e-02       322
      1681     1.4120926e+09     5.0725121e-02       305
      1682     1.4121111e+09     5.0923023e-02       287
      1683     1.4121296e+09     3.7525998e-02       275
      1684     1.4121481e+09     1.9298135e-02       225
      1685     1.4121667e+09     5.5136770e-04       193
      1686     1.4121852e+09     5.7311134e-03       166
      1687     1.4122037e+09     5.2369868e-03       137
      1688     1.4122222e+09     5.8826450e-03        98
      1689     1.4122407e+09     7.1382537e-04        65
      1690     1.4122593e+09     2.3638282e-03        20
      1691     1.4122778e+09     1.9730548e-04         1
      1692     1.4122963e+09     0.0000000e+00         0
      1693     1.4123148e+09     6.2014014e-04         3
      1694     1.4123333e+09     1.7901421e-04         3
      1695     1.4123519e+09     3.6840380e-05         4
      1696     1.4123704e+09     2.9394407e-03        12
      1697     1.4123889e+09    -1.3472060e-03        15
      1698     1.4124074e+09     1.4285529e-03        19
      1699     1.4124259e+09     1.6659312e-03        28
      1700     1.4124444e+09     5.7579265e-04         9
      1701     1.4124630e+09     1.2577631e-03        12
      1702     1.4124815e+09     2.9074231e-03        19
